ID,c0,c1,c2,c3,c4,c5,Pred-confusion-matrix,Output,Output-predicted,Input-X,Input-Y,Input-Z,Output-proba-class0,Output-proba-class1,Output-proba-class2,Data-isval,c10,c11,c12
1000317,0.0,2.0,69.0,0.0,0.0,1567660.0,True-2 Pred-0,2,0,-0.6554072499275208,0.5302601456642151,-0.0804618895053863,0.3894182741641998,0.3657857477664947,0.2447959631681442,False,0.3569911653988091,srt_right_ear_classification,"('out_classes', 3)"
1000511,1.0,0.0,66.0,0.0,0.0,1672130.0,True-0 Pred-1,0,1,-0.0237924009561538,-0.0127238929271698,0.2296773195266723,0.2983534932136535,0.3583511114120483,0.3432953953742981,False,,,"('task_type', 'classif')"
1000589,1.0,1.0,70.0,1.0,0.0,1601390.0,True-1 Pred-1,1,1,-0.1884882599115371,0.1356868892908096,0.1614992916584015,0.3221590220928192,0.3616374731063843,0.3162035048007965,True,,,"('freeze_feature_extractor', False)"
1000712,1.0,1.0,60.0,1.0,0.0,1561030.0,True-1 Pred-0,1,0,-0.6091785430908203,0.4956294000148773,-0.0495725311338901,0.3831151723861694,0.3654792606830597,0.2514055967330932,False,,,
1000805,0.0,1.0,54.0,2.0,0.0,1422980.0,True-1 Pred-0,1,0,-1.012604594230652,0.827329158782959,-0.2587739825248718,0.4409328401088714,0.3614228963851928,0.1976442784070968,False,,,
1000948,0.0,2.0,75.0,2.0,0.0,1249340.0,True-2 Pred-1,2,1,0.0435641817748546,-0.0758256167173385,0.261756956577301,0.2886451184749603,0.356399267911911,0.3549556136131286,False,,,
1001335,1.0,1.0,53.0,0.0,0.0,1737750.0,True-1 Pred-1,1,1,0.0435093827545642,-0.0755828544497489,0.2611710727214813,0.2886649370193481,0.3564233779907226,0.354911744594574,False,,,
1001372,0.0,0.0,62.0,1.0,0.0,1464730.0,True-0 Pred-0,0,0,-1.4574960470199585,1.1855642795562744,-0.4975568354129791,0.5023653507232666,0.3493958711624145,0.1482387632131576,False,,,
1001631,0.0,1.0,58.0,0.0,0.0,1424380.0,True-1 Pred-1,1,1,-0.0035978220403194,-0.0319203622639179,0.23458231985569,0.2953961789608001,0.3580242395401001,0.3465795516967773,False,,,
1001913,0.0,1.0,65.0,1.0,0.0,1449520.0,True-1 Pred-1,1,1,-0.3284901976585388,0.255111962556839,0.0905593186616897,0.3422074019908905,0.3639798462390899,0.2938127517700195,False,,,
1002655,0.0,0.0,61.0,2.0,0.0,1396140.0,True-0 Pred-0,0,0,-1.3978002071380615,1.137356877326965,-0.4635282456874847,0.4943419396877289,0.3513543307781219,0.1543037742376327,False,,,
1003731,1.0,1.0,60.0,1.0,0.0,1679730.0,True-1 Pred-1,1,1,-0.3499139845371246,0.2710025012493133,0.0786656588315963,0.3451249599456787,0.3643249273300171,0.2905501127243042,True,,,
1005032,0.0,1.0,76.0,0.0,0.0,1646690.0,True-1 Pred-1,1,1,-0.4146391451358795,0.3236637413501739,0.0375192128121852,0.3542461395263672,0.3654161095619201,0.2803377211093902,False,,,
1005173,1.0,1.0,65.0,0.0,0.0,1757930.0,True-1 Pred-1,1,1,0.0434472970664501,-0.0750200301408767,0.2603236734867096,0.2887035310268402,0.3564707636833191,0.3548257052898407,False,,,
1005213,1.0,0.0,76.0,0.0,0.0,1998650.0,True-0 Pred-1,0,1,0.0040382109582424,-0.039643008261919,0.2380227595567703,0.2942550778388977,0.3578193187713623,0.3479255735874176,False,,,
1005252,1.0,0.0,56.0,0.0,0.0,1563260.0,True-0 Pred-1,0,1,-0.2873159646987915,0.224818080663681,0.1184024661779403,0.3366812169551849,0.3630164563655853,0.3003023564815521,False,,,
1005645,0.0,1.0,62.0,0.0,0.0,1653120.0,True-1 Pred-0,1,0,-0.6975519061088562,0.5663427114486694,-0.0976781249046325,0.3956604599952698,0.3653883934020996,0.238951176404953,True,,,
1005707,0.0,1.0,59.0,1.0,0.0,1468230.0,True-1 Pred-1,1,1,0.0079761482775211,-0.0403801873326301,0.2434357702732086,0.2938984930515289,0.3575237989425659,0.3485777378082275,True,,,
1005755,0.0,1.0,56.0,1.0,0.0,1300460.0,True-1 Pred-0,1,0,-0.4839241206645965,0.396890640258789,0.019331619143486,0.3654657900333404,0.3648942112922668,0.2696399688720703,False,,,
1006333,0.0,2.0,59.0,1.0,0.0,1508030.0,True-2 Pred-1,2,1,0.0262663178145885,-0.0582020096480846,0.2524177730083465,0.2912201583385467,0.3569725155830383,0.3518072962760925,False,,,
1006495,1.0,1.0,56.0,1.0,0.0,1692370.0,True-1 Pred-1,1,1,0.0435720942914485,-0.0757724493741989,0.2615729868412018,0.2886484265327453,0.3564111590385437,0.3549404144287109,False,,,
1006973,0.0,1.0,49.0,1.0,0.0,1407300.0,True-1 Pred-1,1,1,0.0096822045743465,-0.0411381311714649,0.2462065666913986,0.2937152087688446,0.35737344622612,0.3489113748073578,True,,,
1006996,0.0,1.0,72.0,0.0,0.0,1375270.0,True-1 Pred-1,1,1,-0.1582341194152832,0.1147461608052253,0.1842205971479416,0.3182290196418762,0.3606054186820984,0.3211655914783478,False,,,
1007189,0.0,1.0,59.0,2.0,0.0,1489730.0,True-1 Pred-1,1,1,-0.3271865546703338,0.2574492394924164,0.097777783870697,0.3423221707344055,0.3636135160923004,0.294064313173294,False,,,
1007519,0.0,2.0,64.0,1.0,0.0,1402500.0,True-2 Pred-1,2,1,-0.1091513186693191,0.0694420859217643,0.203824371099472,0.3110231757164001,0.3597415089607239,0.3292352855205536,False,,,
1008044,0.0,1.0,69.0,0.0,0.0,1611170.0,True-1 Pred-0,1,0,-1.9675178527832031,1.606391429901123,-0.751520037651062,0.5697661638259888,0.3263849318027496,0.1038489192724227,True,,,
1008170,1.0,1.0,51.0,1.0,0.0,1754980.0,True-1 Pred-1,1,1,-0.0764280557632446,0.0369277484714984,0.2144806683063507,0.3060772120952606,0.3592268228530884,0.334695965051651,True,,,
1008261,1.0,0.0,68.0,2.0,0.0,1677760.0,True-0 Pred-1,0,1,-0.2273735851049423,0.1669492870569229,0.1430832296609878,0.3275815844535827,0.3623472452163696,0.3100712299346924,False,,,
1008595,0.0,1.0,49.0,2.0,0.0,1723590.0,True-1 Pred-0,1,0,-0.5412194728851318,0.4326111674308777,-0.0268632210791111,0.3726934492588043,0.3660869002342224,0.2612196207046509,True,,,
1008982,1.0,1.0,57.0,2.0,0.0,1730670.0,True-1 Pred-1,1,1,0.0428886301815509,-0.0743216350674629,0.2599310278892517,0.2887952923774719,0.3564867079257965,0.3547179698944092,True,,,
1009029,0.0,1.0,74.0,0.0,0.0,1417290.0,True-1 Pred-1,1,1,0.0420256815850734,-0.0720567926764488,0.2623827159404754,0.2890239655971527,0.3563686311244964,0.3546073734760284,False,,,
1009428,1.0,1.0,72.0,0.0,0.0,1818830.0,True-1 Pred-1,1,1,0.0288688205182552,-0.0625673457980156,0.2496121376752853,0.2907035648822784,0.3570995926856994,0.3521968424320221,False,,,
1009621,1.0,1.0,62.0,0.0,0.0,1547520.0,True-1 Pred-1,1,1,-0.0405376851558685,0.0025719765108078,0.225033089518547,0.3007691204547882,0.3586433529853821,0.3405875563621521,False,,,
1009730,1.0,1.0,66.0,1.0,0.0,1733270.0,True-1 Pred-1,1,1,0.0097024999558925,-0.0466415137052536,0.2390232682228088,0.2933196127414703,0.3577460944652557,0.3489343225955963,True,,,
1009812,0.0,0.0,50.0,1.0,0.0,1476120.0,True-0 Pred-0,0,0,-0.5898116230964661,0.4768399894237518,-0.041678812354803,0.3800881803035736,0.3656275272369385,0.2542842924594879,True,,,
1009942,1.0,2.0,68.0,0.0,0.0,1475130.0,True-2 Pred-1,2,1,0.0218622460961341,-0.0557309575378894,0.2490772306919098,0.2917375266551971,0.3571737408638,0.3510887920856476,True,,,
1009955,1.0,1.0,62.0,0.0,0.0,1221940.0,True-1 Pred-1,1,1,0.0312964729964733,-0.063470110297203,0.2529892027378082,0.2904515862464905,0.3569169044494629,0.3526314795017242,False,,,
1010057,1.0,1.0,59.0,0.0,0.0,1616070.0,True-1 Pred-0,1,0,-1.4053596258163452,1.1464245319366455,-0.4664234519004822,0.4956103861331939,0.3509525060653686,0.1534371972084045,False,,,
1010614,1.0,1.0,60.0,0.0,0.0,1677590.0,True-1 Pred-0,1,0,-0.5242634415626526,0.4162742495536804,-0.0131586901843547,0.3701615631580353,0.3658355474472046,0.2640028893947601,False,,,
1010802,1.0,1.0,57.0,1.0,0.0,1576240.0,True-1 Pred-0,1,0,-0.9507110714912416,0.76744145154953,-0.2369062006473541,0.4313260614871979,0.3631936013698578,0.2054802924394607,False,,,
1010847,0.0,1.0,64.0,0.0,0.0,1434240.0,True-1 Pred-1,1,1,-0.0955880880355835,0.0529274195432662,0.2054327130317688,0.3087487518787384,0.3596901297569275,0.3315611481666565,False,,,
